/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:21.134 [main] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcher'
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:53:21.253 [main] INFO  com.mchange.v2.c3p0.C3P0Registry - Initializing c3p0-0.9.5.5 [built 11-December-2019 22:18:33 -0800; debug? true; trace: 10]
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:53:21.715 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.5.6.Final
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:53:22.345 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:53:22.934 [main] INFO  com.mchange.v2.c3p0.impl.AbstractPoolBackedDataSource - Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 3, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, contextClassLoaderSource -> caller, dataSourceName -> z8kfltb21jkl4cy3afl82|75a6cdb, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.mysql.cj.jdbc.Driver, extensions -> {}, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, forceSynchronousCheckins -> false, forceUseNamedDriverClass -> false, identityToken -> z8kfltb21jkl4cy3afl82|75a6cdb, idleConnectionTestPeriod -> 0, initialPoolSize -> 3, jdbcUrl -> jdbc:mysql://127.0.0.1:3306/c2202l_spring_crm?useSSL=false, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 0, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 15, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 3, numHelperThreads -> 3, preferredTestQuery -> null, privilegeSpawnedThreads -> false, properties -> {user=******, password=******}, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, userOverrides -> {}, usesTraditionalReflectiveProxies -> false ]
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:53:23.346 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:53:24.637 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:53:25.614 [main] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 6019 ms
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:53:52.464 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before advice: calling method: CustomerController.listCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:53:52.464 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: {}
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:53:52.465 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: null
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:53:52.858 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before advice: calling method: CustomerService.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:53:52.859 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: 2
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:53:52.859 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before advice: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:53:52.859 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: 2
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:53:53.392 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @AfterReturning advice: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:53:53.392 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> Result: [Customer [id=1, firstName=few11, lastName=few11, email=few@few.ynht], Customer [id=3, firstName=few, lastName=few222, email=few@few], Customer [id=6, firstName=few, lastName=fewfew, email=fewfew@fewfew], Customer [id=5, firstName=fre, lastName=fre, email=fre@gvtergt], Customer [id=4, firstName=bbgfr, lastName=n htgmuy, email=bnyf@fre]]
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:53:53.392 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @AfterReturning advice: calling method: CustomerService.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:53:53.392 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> Result: [Customer [id=1, firstName=few11, lastName=few11, email=few@few.ynht], Customer [id=3, firstName=few, lastName=few222, email=few@few], Customer [id=6, firstName=few, lastName=fewfew, email=fewfew@fewfew], Customer [id=5, firstName=fre, lastName=fre, email=fre@gvtergt], Customer [id=4, firstName=bbgfr, lastName=n htgmuy, email=bnyf@fre]]
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:53:53.429 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @AfterReturning advice: calling method: CustomerController.listCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:53:53.430 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> Result: list-customers
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:02.312 [http-nio-8080-exec-4] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before advice: calling method: CustomerController.showFormForAdd(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:02.312 [http-nio-8080-exec-4] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: {}
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:02.312 [http-nio-8080-exec-4] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @AfterReturning advice: calling method: CustomerController.showFormForAdd(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:02.312 [http-nio-8080-exec-4] INFO  com.ray.crm.aspect.LoggingAspect - ===> Result: customer-form
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:08.403 [http-nio-8080-exec-5] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before advice: calling method: CustomerController.saveCustomer(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:08.404 [http-nio-8080-exec-5] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: Customer [id=0, firstName=test 2, lastName=test 3, email=fewfew]
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:08.409 [http-nio-8080-exec-5] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before advice: calling method: CustomerService.saveCustomer(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:08.409 [http-nio-8080-exec-5] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: Customer [id=0, firstName=test 2, lastName=test 3, email=fewfew]
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:08.410 [http-nio-8080-exec-5] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before advice: calling method: CustomerDAO.saveCustomer(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:08.410 [http-nio-8080-exec-5] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: Customer [id=0, firstName=test 2, lastName=test 3, email=fewfew]
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:08.463 [http-nio-8080-exec-5] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @AfterReturning advice: calling method: CustomerDAO.saveCustomer(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:08.464 [http-nio-8080-exec-5] INFO  com.ray.crm.aspect.LoggingAspect - ===> Result: null
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:08.464 [http-nio-8080-exec-5] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @AfterReturning advice: calling method: CustomerService.saveCustomer(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:08.465 [http-nio-8080-exec-5] INFO  com.ray.crm.aspect.LoggingAspect - ===> Result: null
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:08.479 [http-nio-8080-exec-5] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @AfterReturning advice: calling method: CustomerController.saveCustomer(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:08.479 [http-nio-8080-exec-5] INFO  com.ray.crm.aspect.LoggingAspect - ===> Result: redirect:/customer/list
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:08.504 [http-nio-8080-exec-6] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before advice: calling method: CustomerController.listCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:08.504 [http-nio-8080-exec-6] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: {}
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:08.504 [http-nio-8080-exec-6] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: null
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:08.512 [http-nio-8080-exec-6] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before advice: calling method: CustomerService.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:08.512 [http-nio-8080-exec-6] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: 2
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:08.512 [http-nio-8080-exec-6] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before advice: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:08.512 [http-nio-8080-exec-6] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: 2
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:08.523 [http-nio-8080-exec-6] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @AfterReturning advice: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:08.524 [http-nio-8080-exec-6] INFO  com.ray.crm.aspect.LoggingAspect - ===> Result: [Customer [id=1, firstName=few11, lastName=few11, email=few@few.ynht], Customer [id=3, firstName=few, lastName=few222, email=few@few], Customer [id=6, firstName=few, lastName=fewfew, email=fewfew@fewfew], Customer [id=5, firstName=fre, lastName=fre, email=fre@gvtergt], Customer [id=4, firstName=bbgfr, lastName=n htgmuy, email=bnyf@fre], Customer [id=7, firstName=test 2, lastName=test 3, email=fewfew]]
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:08.524 [http-nio-8080-exec-6] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @AfterReturning advice: calling method: CustomerService.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:08.524 [http-nio-8080-exec-6] INFO  com.ray.crm.aspect.LoggingAspect - ===> Result: [Customer [id=1, firstName=few11, lastName=few11, email=few@few.ynht], Customer [id=3, firstName=few, lastName=few222, email=few@few], Customer [id=6, firstName=few, lastName=fewfew, email=fewfew@fewfew], Customer [id=5, firstName=fre, lastName=fre, email=fre@gvtergt], Customer [id=4, firstName=bbgfr, lastName=n htgmuy, email=bnyf@fre], Customer [id=7, firstName=test 2, lastName=test 3, email=fewfew]]
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:08.530 [http-nio-8080-exec-6] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @AfterReturning advice: calling method: CustomerController.listCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:08.531 [http-nio-8080-exec-6] INFO  com.ray.crm.aspect.LoggingAspect - ===> Result: list-customers
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:13.043 [http-nio-8080-exec-7] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before advice: calling method: CustomerController.showFormForUpdate(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:13.043 [http-nio-8080-exec-7] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: 7
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:13.043 [http-nio-8080-exec-7] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: {}
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:13.049 [http-nio-8080-exec-7] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before advice: calling method: CustomerService.getCustomer(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:13.049 [http-nio-8080-exec-7] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: 7
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:13.049 [http-nio-8080-exec-7] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before advice: calling method: CustomerDAO.getCustomer(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:13.049 [http-nio-8080-exec-7] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: 7
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:13.082 [http-nio-8080-exec-7] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @AfterReturning advice: calling method: CustomerDAO.getCustomer(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:13.082 [http-nio-8080-exec-7] INFO  com.ray.crm.aspect.LoggingAspect - ===> Result: Customer [id=7, firstName=test 2, lastName=test 3, email=fewfew]
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:13.082 [http-nio-8080-exec-7] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @AfterReturning advice: calling method: CustomerService.getCustomer(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:13.082 [http-nio-8080-exec-7] INFO  com.ray.crm.aspect.LoggingAspect - ===> Result: Customer [id=7, firstName=test 2, lastName=test 3, email=fewfew]
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:13.088 [http-nio-8080-exec-7] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @AfterReturning advice: calling method: CustomerController.showFormForUpdate(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:13.088 [http-nio-8080-exec-7] INFO  com.ray.crm.aspect.LoggingAspect - ===> Result: customer-form
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:18.275 [http-nio-8080-exec-8] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before advice: calling method: CustomerController.saveCustomer(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:18.275 [http-nio-8080-exec-8] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: Customer [id=7, firstName=test 2, lastName=test 33333, email=fewfew]
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:18.281 [http-nio-8080-exec-8] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before advice: calling method: CustomerService.saveCustomer(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:18.281 [http-nio-8080-exec-8] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: Customer [id=7, firstName=test 2, lastName=test 33333, email=fewfew]
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:18.282 [http-nio-8080-exec-8] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before advice: calling method: CustomerDAO.saveCustomer(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:18.283 [http-nio-8080-exec-8] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: Customer [id=7, firstName=test 2, lastName=test 33333, email=fewfew]
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:18.303 [http-nio-8080-exec-8] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @AfterReturning advice: calling method: CustomerDAO.saveCustomer(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:54:18.304 [http-nio-8080-exec-8] INFO  com.ray.crm.aspect.LoggingAspect - ===> Result: null
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04
